제목,작성자,출판사,제작년도,journal,link,abstracts
인공지능 윤리의식 검사 도구 개발 연구,"김귀식,신영준",한국인공지능교육학회,2021,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=37bb2e9e4b3cc2717ecd42904f0c5d65&keyword=인공지능,"이 연구에서는 인공지능 윤리의식을 측정하기 위한 검사 도구를 개발하였다. 인공지능 윤리의식 검사 도구의 개발 과정은 문헌 연 구, 검사 도구 초안 개발, 2차례의 전문가 델파이 조사, 검사 도구 수정, 예비 조사, 본 검사 실시 등의 과정으로 이루어졌다. 이 과 정을 통해 인공지능 윤리의식의 8가지 범주(책임성, 안정성 및 신뢰성, 차별 금지, 투명성과 설명가능성, 사람중심서비스, 고용, 허용 과 한계, 로봇의 권리)를 설정한 후, 모두 24개 문항을 개발하였다. 개발된 검사 도구는 초등학생, 중학생, 고등학생 577명을 대상으 로 신뢰도를 확인하였다. 검사 문항에 대한 전문가들의 타당도는 높았으며, 신뢰도는 양호한 수준이었다. 본 검사 도구는 향후 인공 지능교육이 윤리적 측면에서 어떤 방향으로 나아가야 하는지를 설정하는데 활용될 수 있을 것이다. In this study, we developed TAIEA(Test for Artificial Intelligence Ethics Awareness) that measures students’ ethics awareness about artificial intelligence. We have developed TAIEA through literature review, development of the preliminary version of TAIEA, Delpi methods, revisions of the preliminary version, a pilot test and the test of final version. Through this process, we developed TAIEA(24 items), which consists of eight categories such as responsibility, stability and reliability, no discrimination, transparency and explanability, people centric service, employment, permit and limit, and robot rights. Using the TAIEA, we conducted a test 577 students consisting of elementary school students, middle school students, and high school students. The validity of the experts for the test items was high, and the reliability was good. The TAIEA can be used to establish what direction AI education should go from an ethical perspective in the future."
인공지능철학 관련 연구의 비판적 고찰 -통합이론 ‘사상한(四象限)’과 관련하여,허훈 ( Heo Hoon ),중앙대학교 인문콘텐츠연구소,2020,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=68f03d780a806e3147de9c1710b0298d&keyword=인공지능,"거의 모든 학문 영역에서 전(全)방위적으로 인공지능에 대한 연구가 진행되고 있다. 인공지능 관련 철학 연구에 있어서도 많은 연구물들이 나오고 있지만, 상이한 철학적 관점으로 동시에 인공지능 문제에 접근하는 경우가 적지 않다. 대립각을 세웠던 철학사상이 동시에, 동일한 주제에 적용되었을 때 상이한 결론을 도출하기 마련이다. 따라서 ‘상반되는 철학적·윤리학적 관점을 적용했을 때 얻게 될 상이한 결론은 어떻게 극복할 수 있는지?’를 밝히는 것이 선결 과제로 남는다. 
본고에서는 이에 대한 또 하나의 대안으로서 통합적 접근(Integrated approach) 을 제안한다. 국내외를 막론하고 인공지능에 관한 선행연구에서 통합적 접근법을 사용하는 연구물은 찾기 어렵다. 하지만, 통합적 접근법은 ‘접근법으로서의 개별철학사상의 한계’, ‘철학적 관점의 차이에 따른 결론의 상이성’을 잘 보여준다. 이에, 통합적인 모델 ‘사상한(四象限)’을 원용하며, 이를 인공지능 문제에 적용·응용할 수 있다는 사실을 적시한다. Research on AI is under way in almost all academic fields. While many investigations have been published in AI-related philosophical studies, there are simultaneously many approaches to AI problems with unique philosophical stances. Different conclusions are often drawn when conflicting philosophical ideas are concurrently applied to the same subject. Thus, it is a prerequisite to reveal the answer to the question, “How can we overcome different conclusions when applying conflicting philosophical perspectives?”
This paper proposes an integrated approach as an alternative. It is difficult to find a study that employs an integrated approach in the literature on AI, both at home and abroad. Yet the integrated approach illustrates the limitations of individual philosophical thoughts as an approach and the “differentiation of conclusions based on different philosophical views.” In this paper, I use the integrated model of “all quadrants, all levels” (AQAL). AQAL suggests the need for research into AI, and indicates that it can be applied to AI problems."
인공지능 번역기의 오류 분석 연구 - 졸업연설문 번역 텍스트를 중심으로,정유남,중앙대학교 인문콘텐츠연구소,2022,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a6ff1446765917f2c85d2949c297615a&keyword=인공지능,"이 논문은 인공지능 번역기에서 나타나는 오류 양상을 언어학적으로 분석하는 것을 목적으로 한다. 인공지능 번역의 품질이 높아짐에 따라 언어교육, 텍스트 언어학, 번역학 등에서 다양하게 활용되고 있음에도 불구하고 여전히 기계번역에서는 오류가 발생하고 있다. 이에 본 연구는 인공지능 번역기에서 산출된 결과의 오류를 분석함으로써 영어에서 한국어로 번역될 때 발생하는 오류 유형과 특성을 살펴보고자 하였다. 실제로 졸업연설문 텍스트 자료를 구축하여 언어적 측면에서 오류 유형을 구분하고 분석하여 졸업연설문 텍스트에서 나타나는 오류 양상을 살펴보았다. 이 연구에서는 인공지능 번역기 산출물에 대한 언어학적 오류 분석 방법론을 제시하여 영한 연설문 번역 텍스트 오류의 형태, 의미적 특성을 파악하였다. 이 연구가 인공지능 번역기를 활용한 오류 분석 관련 연구에 기초 자료를 제공하며 나아가 언어공학 연구, 응용언어학 연구에도 도움을 줄 수 있을 것이라 기대한다."
인공지능의 계층별 교육 내용과 방법,"김태령,한선관",한국인공지능교육학회,2020,한국인공지능교육학회 학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4dc18ce9eac7dbd247de9c1710b0298d&keyword=인공지능,"본 연구는 인공지능이 실제 구현되기까지의 시스템을 구조화하고 이에 기반하여 총 6단계에서 목표로 하는 교육을 7계층의 인공지능교육 레이어(AI Teaching-Learning Abstraction, AITLA)로 설정하고 각각 의 계층별 교육의 내용과 방법을 구성하였다. 기초 교과교육은 AI Math Layer, 이론과 연구 분야는 AI Algorithm Layer로, 플랫폼과 인프라 부분은 AI Modeling Layer, 서비스 구현 부분은 AI Coding Layer, 산업과 융합 부분은 AI Convergence Layer로, AI 활용은 AI Utilize Layer, 통합 부분은 AI Meta-Thinking Layer로 명명하고 각 계층별로 인공지능교육의 목표와 내용이 다를 수 있음을 알아보고 자 한다."
"소통, 이성 그리고 인공지능",안윤기 ( An Yoon-ki ),중앙대학교 인문콘텐츠연구소,2019,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=39be34f9e25f009247de9c1710b0298d&keyword=인공지능,"이 글에서는 ‘인공지능 시대의 소통’을 그 가능성 측면에서 고찰하였다. 소통은 인간을 포함한 모든 생명체가 생존과 번영을 위해 여러 수준과 형태로 수행하는 행위인데, 과연 인공지능도 인간과, 또는 다른 인공지능 기계와 소통을 할 수 있을까? 인간의 소통은 ‘언어’라고 하는 탁월한 매체를 통해 수행되며, 이것이 가능했던 것은 인간에게 ‘이성’이라는 지적 능력이 있었기 때문이다. 20세기 중반 이후 개발된 인공지능은 인간의 이성과 언어를 상당히 모방하거나 추월하기도 해서, 누군가는 인공지능과의 대화와 소통이 가능하다고 생각하고, 챗봇의 형태로 그 생각을 구현하기도 했다. 그러나 이 글에서는 그것을 진정한 소통이 아니라고 진단하였다. 자기의식과 자기보존 욕구(영혼)가 없는 한낱 기계는 메시지의 송신자/수신자가 될 수 없기 때문이다. In this article, ‘communication in the era of Artificial Intelligence (= AI)’ was examined in terms of its possibility. Communication is an act performed by all living things, including humans, at various levels and forms for survival and prosperity. Can AI then communicate with humans or other AI machines? Human communication is done through a wonderful medium called ‘language’, which is possible, because humans have a special intellectual power, named as ‘reason’. Because AI-technique developed since the middle of the 20th century imitated or overcame human reason and language, some people thought that it was possible to communicate with AI and realized the idea in the form of a conversation robot (= Chatbot). In this article, however, it is not judged as true communication, because a machine without self-consciousness and the need for self-preservation can not be the sender or recipient of the message."
생성 인공지능에 의한 ‘창의성의 자동화’가  예술에 미치는 영향에 대한 전망,이재박,중앙대학교 인문콘텐츠연구소,2023,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ab74058d4c4bef1fe9810257f7042666&keyword=인공지능,"This study examines the automation of creativity in art through generative artificial intelligence (AI). The findings can be summarized as follows: First, this study  analyzed  the  developmental  history  of  AI  and  its  relationship  with  art, which  we  divided  into  five  distinct  periods:  the  “embryonic,”  “human  lead,” “transition,”  “machine  lead,”  and  “commercialization.”  Second,  this  study demonstrated  that  the  output  generated by AI cannot be considered  and “individual work,” but instead a system encompassing both a thinking  process and creation process, capable of generating an infinite number of works. Third, by examining definitions of creativity from various researchers,  this  study discovered  that  creativity  is  also  a  system  encompassing  both  thinking  and creation  processes.  Fourthly,  as  generative  artificial  intelligence (GAI) yields a “system”  tantamount  to  creativity,  this  study  concluded  that  creativity can be automated  through  GAI.  Finally,  we  explored  five  aspects  of  the potential impact   of   “automation   of   creativity”   on   art.   This   study   enhances   our understanding of the evolution of art landscapes with the emergence of GAI. 이 연구는 생성 인공지능에 의한 창의성의 자동화가 예술에 미치는 영향에 대해 고찰했다. 이 연구의 결과를 요약하면 다음과 같다. 첫째, 인공지능의 발전사와 예술의 관계를 ‘태동기’ ‘인간 주도기’ ‘전환기’ ‘기계 주도기’ ‘상용화기’의 다섯 시기로 나누었다. 둘째, 인공지능이 생성하는 결과물이 ‘개별 작품’이 아니라‘사고과정과 생성과정으로 이루어진, 무한개의 작품을 생성할 수 있는 시스템’이라는 것을 밝혔다. 셋째, 창의성에 대한 다양한 연구자들의 정의를 종합하여 창의성도 ‘사고과정과 생성과정으로 이루어진 시스템’임을 밝혔다. 넷째, ‘생성 인공지능이 출력하는 시스템’과 ‘창의성’이 동일하기 때문에 결과적으로 생성 인공지능에 의해 창의성이 자동화됐음을 보였다. 다섯째, 창의성의 자동화가 예술에 미칠 영향을 다섯 가지 측면에서 고찰했다.  이 연구는 생성 인공지능의 등장으로인해 변화가 불가피한 예술의 지형을 이해하는 데 기여한다."
중학생을 위한 인공지능 교육내용 설계 및 분석,"남상유,박승보",한국인공지능교육학회,2022,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3a527e3a5f86ed207ecd42904f0c5d65&keyword=인공지능,초록이 없습니다.
『햄릿』의 혐오감정 해석의 역사와 인공지능 감정 네트워크 분석,박소영 ( Park Soyoung ),중앙대학교 인문콘텐츠연구소,2021,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=51345327ed2c90bdb36097776a77e665&keyword=인공지능,"인공지능은 인간의 감정을 이해하고 감지할 수 있을까? 이 연구는 현 단계 인공지능 기술의 발전과정에서 AI가 문학작품에 표현된 인간의 감정을 이해할 수 있을지의 가능성과, 인공지능 알고리듬을 인문학 연구에 활용했을 때 얻을 수 있는 가능성과 한계를 살펴보는 데 목적이 있다. 본 연구는 이러한 목적을 위해 윌리엄 셰익스피어의 희곡 『햄릿』을 선택하였다. 우선, 이 작품에 표현된 혐오감정이 주목을 받게 된 비평의 역사를 간략하게 살펴보았다. 그 다음 인공지능 감정 네트워크 알고리즘을 작품에 적용하여 생성된 혐오감정 네트워크를 살펴보았다. 결론에서는 인간 독자가 분석한 혐오의 감정과 AI가 감지한 혐오감정 네트워크를 비교하여 인공지능에 의한 문학작품 독서가 갖는 가능성과 한계를 비교하고 향후 연구의 방향을 간략히 언급하였다. Could AI read and detect the emotion of human being? The purpose of this study is to examine the possibility of AI’s reading emotions in the literary work and to find the possibility and limitations of applying it to the humanistic research, at the present stage of development of AI technology. For this purpose, I choose the play “The Tragedy of Hamlet, Prince of Denmark”(1601), by William Shakespeare. I will first briefly look at the history of interpretation of this work, in which disgust emotion expressed has come to the critical attention. Then, I will look at the disgust emotion network produced by processing AI emotion network algorithm to this work. Finally, I will compare the disgust emotion read and detected by human reader and AI reader."
놀이 기반 인공지능 교육 프로그램이 자폐성 장애 학생의 문제행동과 주의집중에 미치는 영향,박신영,한국인공지능교육학회,2023,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e20fe35aefd0590f6aae8a972f9116fb&keyword=인공지능,"본 연구는 놀이 기반 인공지능 교육 프로그램이 자폐성 장애 학생의 문제행동과 주의집중에 미치는 효과를 파악하고자 한다. 본 연 구는 사전관찰을 통해 문제행동의 비율이 높고 주의집중력이 낮은 자폐성 장애 학생 1명을 연구 대상으로 놀이기반 인공지능 교육 프로그램을 적용하였다. 본 연구의 자료 분석 방법은 동기평가척도, 행동 특성 중심 관찰기록지를 활용한 양적연구와 연구자의 참 여관찰의 질적연구를 통하여 종합적으로 설정하였다. 본 연구에서 알아낸 주요 연구 결과를 문제행동의 변화와 주의집중에 미치는 영향으로 나누어 정리하면 다음과 같다. 첫째, 문제행동 측면에서 사후에 참여 학생의 문제행동 발생 빈도가 감소하였다. 둘째, 주 의집중 변화를 관찰한 결과 교육 프로그램에 흥미를 보이며 수업 참여와 주의집중이 향상되는 모습을 보였다. 결론적으로 교육 프 로그램 적용 중 참여 학생의 문제행동의 발생 빈도가 감소하여 주의집중도 향상되는 결과를 보였다. 이는 자폐성 장애 학생의 특성 에 맞게 시각적인 자료를 제작하고, 놀이를 기반으로 학생의 흥미를 유발하여 학습 참여도를 높일 수 있는 활동을 구성한 프로그램 의 효과를 입증하는 결과로 보인다. This study aims to identify the effects of a play-based artificial intelligence education program on problem behavior and attention in students with autism. In this study, a play-based artificial intelligence education program was applied to a student with autism who had a high rate of problem behavior and low attention span through prior observation. The data analysis method of this study was comprehensively established through a quantitative study using a motivation evaluation scale and a behavioral characteristic-oriented observation record and a qualitative study of the researcher's participation observation. The main research results found in this study are divided into changes in problem behavior and the effect on attention, and summarized as follows. First, in terms of problem behavior, the incidence of problem behavior of participating students decreased post-mortem. Second, as a result of observing changes in attention, students showed interest in the educational program, and showed improvement in class participation and attention. In conclusion, during the application of the educational program, the frequency of problem behaviors of the participating students decreased, resulting in improved attention. This seems to be the result of proving the effectiveness of the program, which produced visual materials suitable for the characteristics of students with autism, and organized activities that can increase participation in learning by arousing students' interest based on play."
한국 인공지능 교육의 방향,류미영,한국인공지능교육학회,2020,한국인공지능교육학회 학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4dc18ce9eac7dbd24884a65323211ff0&keyword=인공지능,초록이 없습니다.
인공지능 시대에서 키에르케고어의 윤리적 책임,황종환 ( Hwang Jonghwan ),중앙대학교 인문콘텐츠연구소,2020,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=68f03d780a806e31c85d2949c297615a&keyword=인공지능,"인간의 인공지능 활동은 인간의 실존적 현실과 연관된다. 인공지능은 실존적 지평(地平)을 확장하는 문화적 활동이다. 실존적 지평의 확장은 삶에 깃들어 있는 절망과 불안의 체험과 함께한다. 실존적 절망과 불안은 양면(兩面)적 특성을 지닌다. 필연, 순간, 유한의 인간 영혼이 자유, 영원, 무한의 높은 실존단계로 나아갈 때 실존적 절망과 불안은 증대된다. 실존적 절망과 불안은 자아를 형성하는 계기가 될 수 있다.
키에르케고어(S. Kierkegaard)는 영원을 사모하는 단독자(單獨者)로서 윤리적 책임을 진지하게 주장한다. 영원을 사모하는 본성의 표현으로서 영원한 존재와 관계는 자신을 형성하는 길이다. 인공지능은 단지 정교한 기계가 아니라 인간문화의 상징적 형식이다. 인간 문화로서 인공지능은 상호작용을 통해 의사소통을 가능하게 한다. 인공지능은 일반적 객관적 문제해결 능력을 갖지만 영혼의 활동으로서 실존하지는 않는다.
인격체로서 인간의 윤리적 역할은 인공지능 혁명의 시대에도 주어져있다. 자아(自我)를 형성하는 과정에서 나타나는 윤리적 책임은 인간만의 독특한 과제다. 윤리적 책임은 독단이나 맹목적 종교의 주장으로부터 인간을 자유롭게 한다. 자아의 형성은 단지 말을 통한 주장이 아니라 윤리적 생활의 열매를 통해 증명되어야 한다. 신뢰할 수 있는 자아는 일생의 걸쳐 표현되는 삶의 번영을 통해 드러난다. Human AI activity is intertwined with existential morality. AI is a symbolic form of broadening human existence. The existential horizon is intimately combined with existential despair and anxiety, which have ambivalent meanings. Existential anxiety and despair increase when the human spirit moves upward to higher spheres of freedom, eternality, and infinity. S. Kierkegaard asserts that ethical accountability should be taken seriously as a single individual being. The existential ethical atmosphere is proceeding with self-formation. AI, not as a machine, but as a symbolic form of human culture, is to be communicated with others in existential interaction. Existential despair and anxiety for becoming oneself are unique phenomena among human beings. AI can solve objectified problems, but does not live as a spiritual being. New revolutions in AI’s problem-solving abilities are forcing humans to consider their role in the world, in which human morality has been outstripped by the intelligence of machines. The authentic proof for knowing oneself should be verified through the fruits of moral living, not merely verbal arguments."
인공지능 예술은 해석 가능한가 - 의도주의의 전망,윤주한,중앙대학교 인문콘텐츠연구소,2023,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e2dca7f99966e5a6d18150b21a227875&keyword=인공지능,"본고는 ‘인공지능 예술을 의도주의적으로 해석할 수 있는가(Intentionalist Question regarding AI Art, IQA)’라는 질문에 관해 의도주의자가 어떻게 답변할 수 있을지를 검토하는 것을 주요한 목적으로 삼는다. 의도주의는 예술작품의 의미가예술가의 의도에 의해 결정된다고 보는 비평철학의 한 입장이다. 나는 의도주의가 IQA에 궁극적으로 답변하고자 한다면, 그리고 IQA의 도전에 맞서 의도주의를 옹호하고자 한다면 ‘인공지능 그 자체’가 예술적 의도를 가질 수 있다는 것을받아들이고, 이를 바탕으로 인공지능 예술의 해석에 관한 보다 발전된 설명을 제시할 수 있어야만 한다고 주장한다. IQA를 탐구하는 것은 비평철학에서 오랫동안 논의되어 온, 작가의 의도와 작품의 해석 사이의 관계를 새로운 관점으로 바라볼 수 있는 계기가 될 수 있을 뿐만 아니라, 인공지능이 예술적 창조를 할 수있는지와 같은 인공지능 철학의 근본 질문들을 탐색하기 위한 실마리가 될 수있다. The  primary  objective  of  this  study  is  to  examine  the  manner  in which intentionalism can provide answers to the question of whether intentionalist interpretation  can  be  applied  to  the  interpretation  of  artificial  intelligence  (AI) art  (intentionalist  question  regarding  AI  art,  IQA).  Intentionalism  is  a  thesis within  the  philosophy  of  criticism  that  asserts  that  the  meaning  of  an  artwork is determined by an artistʼs intention.  I  argue  that,  for  intentionalism  to ultimately respond to IQA and advocate for intentionalism in the  face  of  its challenges,  intentionalists  must  accept  that  “AI  itself”  can  possess  artistic intentions  and  should  be  able  to  present  a  more  advanced  explanation  for  the interpretation  of  AI  art.  Exploring  IQA  can  serve  not  only  as  a  bottom-up approach to investigate fundamental questions in the philosophy of AI but also as a new impetus within the longstanding debate of intentionalism  versus anti-intentionalism in the philosophy of criticism."
대학 교양교육에서의 국내외 인공지능 교육 현황,"김성애,박주연",한국인공지능교육학회,2020,한국인공지능교육학회 학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4dc18ce9eac7dbd2d18150b21a227875&keyword=인공지능,초록이 없습니다.
인공지능 주체와 미디어 몸들의 세계 -소셜미디어의 사용자와 게임 유저들의 세계가 가지는 의미,이지용 ( Lee Ji-yong ),중앙대학교 인문콘텐츠연구소,2020,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=68f03d780a806e317ecd42904f0c5d65&keyword=인공지능,"인공지능은 필연적으로 모든 관심 영역에서 인간의 능력을 상회하는 지능을 지향하고, 그렇게 발전하고 있다. 그러기 때문에 인공지능에 대해서 단순히 성찰의 맥락에서만 담론을 전개하기엔 실제 현상적인 부분의 변화폭이 너무 크다. 본고에서는 이러한 변화양상을 통해 나타나는 인공지능 사회의 변화 양상을 소셜미디어와 게임 유저 경험의 확대인 게이미피케이션을 통해 확인할 수 있을 것이라 판단하였다.
첫 번째로 소셜미디어에서는 주체의 다양성과 의미의 변화가 두드러지는 특징으로 나타났다고 할 수 있다. 두 번째로 사이버스페이스의 확장과 일상화로 인해서 나타난 게이미피케이션의 확대가 현대 사회의 특징으로 나타남을 알 수 있었다.
이러한 변화의 양상들은 이미 현실에 구현되고 있는 모습들이다. 특히 멀티미디어의 일상화는 주체의 문제와 정체성, 그리고 다양한 의미들을 이전과는 완전히 다른 모습으로 우리의 생활과 인식의 층위들을 해체하게 될 것이다. 그리고 그러한 인식의 전회를 위해서는 먼저, 현상들의 변화 추이를 명확하게 확인하는 것이 중요하다고 할 수 있다. AI continues to outsmart humans in all areas of interest and is constantly developing. It has deeply transformed in terms of actual phenomena. Hence, it is not enough to simply discuss the topic in the context of introspection. The researcher of this paper posits that the changing patterns of AI society can be verified by studying gamification, which is the expansion of social media and game user experiences.
Firstly, in social media, the diversity and meanings of entities have changed remarkably. Secondly, the growth of gamification (caused by the expansion and universalization of cyberspace) has occurred in society.
These shifting patterns are already implemented in reality. In particular, the everyday habits of using multimedia enable us to disassemble the levels of our lives and our perceptions, by modifying the issues and identities of entities, as well as their diverse meanings, in a completely different way. In addition, for a cognitive change, it is important to clearly identify the trends of variations in phenomena."
21세기 피그말리온과 인공지능 - 피그말리온 신화의 해석을 기반으로 -,김연순,중앙대학교 인문콘텐츠연구소,2022,인공지능인문학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f9a6432f837b6f484884a65323211ff0&keyword=인공지능,"본 논문은, 피그말리온 신화의 분석을 기반으로 21세기 기술문명 시대에 인간과 인공지능의 관계 및 그 미래를 고찰하고자 한다. 피그말리온 신화는 변신을 출발점으로 전개되는 피그말리온 가계(家系)의 이야기이다. 이 신화의 핵심은 피그말리온에 의해 만들어진 상아조각상의 인간화이며, 이를 통해 창조자와 피조물의 원형 관계가 변형되고 복합화된다. 피그말리온 신화에서 드러난 인간의 자기창조 욕망은 서양문화사에서 다양한 변화를 통해 제시되고, 근대 이후 급속히 발전하는 과학기술은 인간의 자기창조 욕망에 의한 상상을 실현하고 있다. 이에 본 논문은, 피그말리온 신화를 오늘날의 시각에서 재해석하고, 오늘날 인간을 21세기 피그말리온으로 그리고 인공지능을 21세기 갈라테이아로 간주하면서 그로 인해 형성되는 ‘태어난 자’와 ‘만들어진 자’의 파생관계를 살펴본다. 더 나아가 시대마다 다양하게 제시되는 인간의 자기창조 욕망 현상들을 ‘피그말리온 증후군’으로 간주하고, 그 의미를 현대적 시각에서 분석하여, 21세기의 피그말리온이라 할 수 있는 현대의 인간과 인공지능의 미래를 고찰하고자 한다."
보드게임을 활용한 인공지능 이해,"조명우,문상필,조인우,원호준",한국인공지능교육학회,2022,한국인공지능교육학회 학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b0a5493e9689599fb7998d826d417196&keyword=인공지능,초록이 없습니다.
인공지능교육 관련 연구 동향 분석 : 키워드 네트워크 분석,"한지윤,신영준",한국인공지능교육학회,2020,한국인공지능교육학회 학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4dc18ce9eac7dbd27f7a54760bb41745&keyword=인공지능,"본 연구는 키워드 네트워크 분석을 이용하여 인공 지능 교육의 연구 동향을 조사하는 것이다. 본 연구 를 위해 논문의 초록 내용을 분석했다. 논문 자료선정은 RISS에서 '인공지능교육'이라는 키워드를 사용 하여 기초 분석 자료를 수집하였다. 자료 선정 과정을 거쳐 57개의 논문을 선정하고, 단어 정제과정을 거 쳐 핵심 키워드를 선정하였다. 이 연구의 결과는 다음과 같이 요약 될 수 있다. 첫째, 키워드 네트워크의 연결 중심성 분석을 통해 키워드 사이에 머신러닝, 긍정, 언플러그드, 알고리즘, 초등학생을 대규모 허브 로 하는 네트워크가 형성된다. 둘째, 매개 중심성 분석에서도 머신러닝, 초등학생, 긍정, 알고리즘은 매개 중심성 값이 높아 다른 키워드를 연결하는 중개자 역할을 동시에 하는 키워드임을 알 수 있다. 셋째, 인 공지능 교육 연구에서 교육 효과를 평가하는 도구 중 학습 이해도의 위세 중심성이 다른 중심성보다 높 았다. 이는 활발한 연구 주제와 학습 이해도가 서로 중요하게 연결되어 있음을 의미한다."
인공지능교육 관련 연구 동향 분석 : 키워드 네트워크 분석,"한지윤,신영준",한국인공지능교육학회,2020,인공지능연구 논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cc97663b8f91b888d18150b21a227875&keyword=인공지능,"본 연구는 키워드 네트워크 분석을 이용하여 인공지능 교육의 연구 동향을 분석하였다. 연구를 위해 학술지에 게재된 논문과 학위 논문의 초록 내용을 분석했다. 자료 선정 과정을 거쳐 57개의 논문을 선정하고, 단어 정제과정을 거쳐 핵심 키워드를 선정 하였다. 연구의 결과는 다음과 같다. 키워드 네트워크의 연결 중심성 분석을 통해 머신러닝, 긍정, 언플러그드, 알고리즘, 초등학 생을 대규모 허브로 하는 네트워크가 형성된다. 매개 중심성 분석에서 머신러닝, 초등학생, 긍정, 알고리즘은 매개 중심성 값이 높아 다른 키워드를 연결하는 중개자 역할을 동시에 하는 키워드임을 알 수 있다. 교육 효과를 평가하는 도구 중 학습 이해의 위세 중심성의 가치가 다른 측정 도구보다 높았다. 이것은 활발한 연구 주제와 학습 이해의 키워드가 서로 연결되어 있음을 의미한다. The purpose of this study was to investigate the research trends in artificial intelligence education using keyword network analysis. For the study, the abstract content of the paper was analyzed. Theses and Dissertations Retrieval was conducted in RISS using the keyword ‘artificial intelligence education’, which created the basic analysing material. After a three-step screening process, 57 papers were finally analyzed. The results of this study can be summarized as follows; First, through the analysis of the degree centrality of the keyword network, a network with machine learning, positive, unplugged, algorithms, and elementary school students as a large hub is formed between keywords. Second, even in the analysis of betweenness centrality, it can be seen that machine learning, elementary school students, positivity, and algorithms have high betweenness centrality values, so that they are keywords that simultaneously act as intermediaries connecting other keywords. Third, among the tools for evaluating educational effects within the research on artificial intelligence education, the value of eigenvector centrality of learning understanding was higher than that of other measurement tools. This means that keywords of active research topics and learning comprehension are linked together."
